Company,cik_number,sic,AU,Number_of_new_accounts,Sales Cycle,qualified-leads,Percentage Conversion,CAC,Penetration rate,Net Promoter Score,Revenue rate,churn rate,Growth revenue rate,arpa,acv,ltv,CAC Payback,LTV/CAC,sentiment
2U INC,0001047469,15-001305,226,11,60,18.31495895,23.29938675,325.4729296,55.29971752,-3,20.31067482,5.848224471,32.04607877,26.84093643,15709.28496,200.8440186,5,0.617083635,negative
2U INC,0001047469,16-010989,190,14,81,11.71094152,9.994620916,434.369365,8.846466435,-4,18.91425884,4.233230159,35.21420046,37.90307389,18240.05338,451.9782125,8,1.04053888,positive
2U INC,0001047469,17-000950,173,11,100,15.22445421,36.09564841,437.7419122,53.88226171,32,22.89286939,6.110446112,21.66239427,29.52673392,18501.04555,253.0708164,9,0.578127909,positive
2U INC,0001047469,18-001109,286,14,102,19.98826156,46.23307986,312.7202889,26.78765785,43,37.61554524,6.550540956,24.46558854,36.91336983,20554.03686,253.5541072,6,0.810801589,negative
2U INC,0001104659,19-010491,310,15,73,24.81571543,32.89829305,397.6780249,40.76658976,19,43.56986688,5.372961738,28.49124334,33.58089173,15105.37577,288.9531391,4,0.72660072,positive
2U INC,0001459417,20-000003,230,14,74,22.00069538,88.68775658,439.9874857,63.16669175,29,36.88048288,3.982319981,36.74972309,34.2542456,27033.73409,575.9988921,10,1.309125625,negative
2U INC,0001459417,21-000003,306,12,70,31.60533312,15.33232089,340.4632398,70.32924184,16,30.52059289,3.28867067,32.1692009,37.13955313,10339.11299,488.9649556,9,1.436175476,negative
2U INC,0001459417,22-000004,192,10,105,19.33678717,17.56338949,438.6343235,40.81522348,28,26.13527511,6.308336839,32.21918571,39.24678488,17384.99545,273.1332836,4,0.622690175,positive
2U INC,0001104659,14-057593,238,12,72,20.74106033,90.02435119,447.7174823,86.65991246,38,32.51557112,6.590286918,24.98379895,38.22102599,12608.84173,274.1261587,8,0.61227486,negative
2U INC,0001104659,14-076553,245,14,70,23.44564041,17.28716632,319.098407,42.01167694,40,27.22316714,3.607426212,17.36547979,35.5117436,11550.28455,630.4606307,7,1.975756121,negative
2U INC,0001104659,15-035575,250,15,102,17.65096089,64.77345651,393.226578,24.13143578,27,31.39457114,6.234429847,43.4531823,36.89710366,27403.48585,307.8176583,4,0.782799728,positive
2U INC,0001104659,15-057188,239,14,107,24.78297655,87.3197802,417.253782,17.96864281,-7,26.91362571,4.712616633,33.74237659,41.98716894,14901.3895,590.9772128,9,1.416349565,negative
2U INC,0001104659,15-072735,273,12,86,23.20911909,46.48572853,385.9398307,26.60162578,-5,30.25551282,5.008546312,37.05748335,23.92539051,10630.16885,328.2750123,8,0.850585988,positive
2U INC,0001104659,16-118289,260,13,67,21.81382387,27.30520894,449.9397728,64.65151453,4,16.99016279,5.703880386,29.10592964,49.87309098,18263.74315,407.2817094,10,0.905191615,negative
2U INC,0001104659,16-137033,255,10,108,25.31322848,55.5604865,393.4041008,73.5449146,39,37.53902559,6.472541377,37.12509592,47.47043746,12886.93613,483.7682241,6,1.22969797,negative
2U INC,0001104659,16-154594,278,11,62,15.93575197,8.044039379,385.8607639,41.31923931,2,16.67391545,4.36167409,16.99946163,27.1696095,19580.67469,430.1642593,7,1.114817311,negative
2U INC,0001104659,17-029892,226,14,75,24.56733226,24.79743797,441.7248511,56.15117383,-16,26.34808731,5.40251336,17.68879412,24.63520102,12274.88749,211.3886531,10,0.478552775,positive
2U INC,0001104659,17-049907,201,10,66,16.65795814,28.57740205,369.5299115,93.97040334,-11,32.54019826,6.371025343,34.17498029,25.90077758,22675.32105,174.8225104,6,0.473094342,positive
2U INC,0001104659,17-066642,291,13,69,29.90310768,64.31516002,440.0229872,92.91442454,29,25.85637825,5.292398629,23.08851257,22.46822892,18387.10371,194.6013256,7,0.442252635,positive
2U INC,0001104659,18-030256,206,14,76,23.16363173,69.13573815,343.3555182,49.69682239,24,33.47092647,5.801979346,24.89652221,40.70097977,29858.78457,389.1699449,7,1.133431456,negative
2U INC,0001104659,18-049189,262,12,97,23.18768422,7.940377063,446.8581488,19.07146816,22,42.0075911,4.970446176,39.65493169,33.84582174,13790.17025,451.1197855,5,1.009536889,positive
2U INC,0001104659,18-065981,267,12,103,19.6988154,40.89134978,356.6909581,78.65112041,15,23.31719519,4.014540165,41.94775665,20.57675698,27770.64139,332.8541637,6,0.933172418,positive
2U INC,0001459417,19-000003,207,13,72,22.01257216,47.83379589,381.0113761,66.89019185,50,23.16745581,4.585217794,31.93338635,31.15292757,29723.85389,370.2553631,12,0.971769838,positive
2U INC,0001459417,19-000006,207,11,63,20.19789535,52.89151475,407.3804576,49.89975884,-11,25.23498485,4.78693493,36.10052793,26.26627083,25745.73702,293.1402328,5,0.719573625,positive
2U INC,0001459417,19-000008,249,14,60,23.5794849,85.51245214,446.537921,56.1546248,26,30.3113302,6.533658905,42.22147678,45.85604343,25299.26587,438.9141448,9,0.982926923,positive
2U INC,0001459417,20-000006,194,10,76,14.2015753,16.8522698,321.296214,33.8751409,-10,17.84408576,5.160345322,42.13120605,25.57688158,28394.50206,240.9408104,9,0.749902426,negative
2U INC,0001459417,20-000010,304,14,105,19.62617833,50.24372872,391.0644958,8.054608702,37,21.84681447,5.589837723,34.0543569,35.05802343,18663.92184,289.2051407,7,0.739533105,positive
2U INC,0001459417,20-000012,209,14,60,22.50352317,4.06581746,309.0215805,29.30684617,35,37.39064333,3.854974439,18.19766198,27.50271937,28030.26981,326.8993839,9,1.057852929,negative
2U INC,0001459417,21-000009,194,11,73,14.56024594,13.03636827,340.0015466,88.9195006,-4,30.04420646,3.17692499,28.12691122,44.81337911,17294.51481,691.499324,8,2.03381229,negative
2U INC,0001459417,21-000012,303,11,92,27.23527895,81.40260168,320.0841888,65.00395964,31,28.22733538,4.560443109,15.4528327,34.57587493,13603.75566,505.030991,11,1.577806742,negative
2U INC,0001459417,21-000014,200,12,82,18.98528337,76.69103251,356.0734419,64.39378504,32,39.18913702,4.453385863,39.93526989,24.41347641,26518.67697,369.9547702,6,1.038984453,positive
30DC INC,0001065949,11-000220,197,11,88,21.43642757,90.41324761,390.3788719,12.81218232,-4,31.70305184,6.12406422,35.34450256,35.11749403,28556.52302,385.5696063,10,0.987680518,negative
30DC INC,0001065949,13-000060,219,11,104,15.24060817,77.78930737,327.4587251,5.912312237,21,33.85816845,6.237982048,38.14393732,37.91588388,13937.20077,249.6909049,4,0.762511076,negative
30DC INC,0001065949,13-000173,254,14,64,23.84976566,43.25019491,411.5090047,29.53244275,25,31.5397874,4.725290844,42.89657715,34.57961186,17732.74655,426.9586878,6,1.037543974,negative
30DC INC,0001065949,14-000251,168,15,106,11.29271666,12.69187309,353.8281713,93.26277976,29,25.301305,3.926759903,19.64773783,42.04480843,21073.00195,580.307878,7,1.640083874,positive
30DC INC,0001065949,15-000281,289,10,108,21.14306048,84.0367916,410.5413021,16.6046291,21,39.7092414,4.438820083,15.89189739,36.3755841,11769.43882,389.3655287,7,0.948419871,negative
30DC INC,0001065949,11-000157,287,15,75,25.21615103,27.82411306,419.2451661,50.40744545,-17,38.03712626,3.829562647,15.99229577,28.14720099,16080.60237,328.0232407,4,0.782413889,negative
30DC INC,0001065949,11-000169,235,12,104,17.73734808,66.4446328,364.8744974,16.99632659,-4,20.96542858,4.190685249,38.21347007,27.65887816,23178.69451,432.9473247,9,1.186565046,positive
30DC INC,0001065949,11-000170,248,12,95,23.24926672,89.81684591,401.1155407,77.67062111,7,31.72328199,6.279023164,22.50834818,48.14670858,24681.79326,483.3275035,11,1.204958309,negative
30DC INC,0001065949,12-000012,310,15,64,28.77426515,62.42054144,308.539755,6.414703932,18,32.80925107,4.452665995,18.01529079,21.08467414,26272.21997,225.3532227,12,0.730386341,negative
30DC INC,0001065949,12-000059,243,14,73,25.97535708,79.36757392,388.1445283,86.66263377,-14,38.91918121,4.922931186,34.77688503,29.29998265,15582.66211,395.4293156,8,1.018768234,negative
